County,HospitalID,MedicareFr,RPR,RER,Incentivize
Sonoma,50291,0.329449713,16.30153465,18.71918106,False
San Bernardino,50300,0.267950803,22.87187767,21.67035484,False
Alameda,50305,0.254037648,20.19015694,20.68787384,False
Santa Clara,50308,0.397629619,18.97271347,20.5803566,False
Placer,50309,0.334398001,18.56837845,20.88486481,False
San Diego,50324,0.304937184,19.60987473,20.36652756,False
San Bernardino,50327,0.210276425,22.89609528,22.02906609,False
Riverside,50329,0.319760114,23.41534233,22.12532234,False
Monterey,50334,0.44455412,20.19343758,20.90639877,False
Tuolumne,50335,0.542307317,18.3989048,20.10469437,False
San Joaquin,50336,0.461682439,20.09636497,20.45681763,False
Imperial,50342,0.298559159,20.91604424,20.5962677,True
Orange,50348,0.2559506,22.49891853,22.09756851,True
Los Angeles,50351,0.293799162,21.86878204,21.02391052,True
Los Angeles,50353,0.323015451,22.78001595,21.61851501,True
Tulare,50359,0.304308653,21.3928566,19.33883858,False
Marin,50360,0.477453381,19.04902267,19.58335114,False
Solano,50367,0.31942451,22.96714783,21.47768593,False
Los Angeles,50376,0.078566432,22.49050522,22.20000076,False
Santa Clara,50380,0.352813482,18.46193695,19.96763039,False
Riverside,50390,0.333832085,20.88527679,21.92720795,False
Los Angeles,50393,0.286617458,23.29040718,23.86846352,False
Ventura,50394,0.309838355,18.84838486,20.68929672,False
Santa Barbara,50396,0.401541114,17.58143044,19.75196075,False
San Francisco,50407,0.31180355,17.64972115,17.13575363,True
Del Norte,50417,0.408498287,19.72538757,21.03993797,False
Orange,50426,0.471464753,23.36526489,22.95467377,True
Los Angeles,50438,0.376733571,22.49935532,21.803442,True
Santa Clara,50441,0.317946017,19.49342537,20.63378906,False
Merced,50444,0.400330931,23.67451668,22.71599388,True
San Francisco,50454,0.259644985,20.44853973,20.86897278,False
Kern,50455,0.256445765,25.03299332,22.90159798,False
San Francisco,50457,0.451994181,20.20362663,20.19339371,True
Stanislaus,50464,0.27006036,20.6071701,21.11828995,False
Los Angeles,50471,0.37968111,24.53898048,22.90945816,False
Los Angeles,50481,0.458705604,20.69000053,21.41770172,False
Los Angeles,50485,0.322100699,23.31301689,22.46129417,True
Alameda,50488,0.352689594,22.11745834,22.13152504,False
Fresno,50492,0.198368311,17.08893204,18.65744209,False
Contra Costa,50496,0.404105753,21.15860176,22.8356266,False
Placer,50498,0.413139462,20.50876236,21.0072155,False
Los Angeles,50502,0.5606727,20.87688446,22.33758736,False
San Diego,50503,0.337127686,19.62107468,20.384161,False
San Luis Obispo,50506,0.292372763,18.6656723,18.45134354,True
Sacramento,50516,0.296244174,20.68548775,19.99577904,True
Contra Costa,50523,0.36574775,22.15431786,22.14788055,True
Orange,50526,0.473789215,25.82136536,25.13204765,True
Riverside,50534,0.29397279,21.36940956,20.7768631,True
Ventura,50549,0.504662573,18.97702789,20.65240479,False
Orange,50551,0.327636302,18.97268105,20.5368557,False
Stanislaus,50557,0.311423033,21.48961449,21.47320175,True
Orange,50567,0.332201868,19.50798035,20.79642677,False
Madera,50568,0.29687044,20.22922325,20.60342407,False
Orange,50570,0.288673759,22.01815033,22.17994881,False
Riverside,50573,0.540247738,18.51129532,20.79713249,False
Orange,50580,0.519095302,23.81569862,23.4474411,True
Los Angeles,50581,0.267270654,22.22403717,22.9047699,False
San Bernardino,50586,0.262771308,23.84112167,24.42663574,False
Los Angeles,50588,0.274264991,23.14736938,22.65438652,True
Sacramento,50590,0.272998661,21.28388596,20.92488098,True
Los Angeles,50597,0.28606832,21.02261925,21.48035622,False
Sacramento,50599,0.273345828,22.27928352,22.46205139,False
Orange,50603,0.29605341,20.43271828,21.33236313,False
Ventura,50616,0.508479238,20.63599968,21.1576004,False
Los Angeles,50624,0.343854904,22.52207565,23.04760742,False
Los Angeles,50625,0.422688991,23.01341438,23.66030693,False
San Luis Obispo,50633,0.399528354,18.50014877,19.31381798,False
San Diego,50636,0.337272853,19.17162895,20.91906929,False
Orange,50678,0.196355581,21.70801926,21.46368027,True
Riverside,50684,0.344439417,22.85312462,22.265625,True
Santa Clara,50688,0.370174915,19.29380226,20.30309868,False
Contra Costa,50689,0.315931737,20.26415062,19.29150963,True
Los Angeles,50696,0.403343678,24.49090958,24.08268356,True
Riverside,50701,0.216263324,22.19596672,21.41532326,True
Los Angeles,50704,0.460636348,24.19623947,23.71240616,True
San Bernardino,50709,0.340821445,22.27522469,22.33626556,False
Kern,50724,0.571384609,21.70783806,21.57097435,True
Los Angeles,50735,0.214471132,22.54675865,23.11330986,False
Los Angeles,50737,0.408450752,24.79515266,23.52199364,True
Los Angeles,50739,0.491623372,28.07190895,24.92219162,False
Los Angeles,50740,0.331961334,23.47258568,22.33551025,True
Los Angeles,50742,0.553057373,30.9314003,26.54471016,False
Orange,50744,0.202268317,21.04218864,21.22421837,False
Orange,50746,0.150837407,20.37015343,21.2216835,False
Los Angeles,50752,0.544773281,25.72557831,24.42788696,True
San Diego,50757,0.458329946,20.63543129,21.95641899,False
Los Angeles,50761,0.508488178,22.4510746,22.10506248,True
Shasta,50764,0.520133555,20.10861969,21.7844162,False
